Image,Year,Stem Count,
2001,2020,6,
2006,2020,2,
2016,2020,6,check
2017,2020,1,
2019,2020,2,
2024,2020,4,
2035,2020,5,
2036,2020,3,
2037,2020,2,
2043,2020,1,
2045,2020,6,
2046,2020,1,
2047,2020,8,
2059,2020,1,
2062,2020,1,
2065,2020,7,
2067,2020,5,
2070,2020,2,
2073,2020,1,
2077,2020,1,
2082,2020,1,
2089,2020,4,
2090,2020,2,
2100,2020,10,
2101,2020,0,
2104,2020,16,
2143,2020,6,
2146,2020,1,
4690,2020,5,
10802,2020,3,
2153,2021,1,
2180,2021,4,
2194,2021,18,
2204,2021,6,
2218,2021,1,
2222,2021,4,
2245,2021,1,
2254,2021,4,
2318,2021,1,
2341,2021,1,
2371,2021,1,
2372,2021,5,
2422,2021,2,
2457,2021,0,
2462,2021,1,
2474,2021,1,
2485,2021,1,
2509,2021,4,
2539,2021,1,
2561,2021,1,
2572,2021,3,
2584,2021,5,
2588,2021,3,
2616,2021,3,
2634,2021,14,
2646,2021,1,
2679,2021,15,
2697,2021,8,
4245,2021,1,
4291,2021,7,
2721,2022,1,
2740,2022,10,
2745,2022,3,
2763,2022,20,
2770,2022,1,
2813,2022,1,
2838,2022,9,
3132,2022,7,
3218,2022,10,
3224,2022,5,
3319,2022,1,
3337,2022,1,
3338,2022,6,
3573,2022,8,
3582,2022,7,
3694,2022,5,
3698,2022,1,
3761,2022,1,
3826,2022,10,
3903,2022,15,
3919,2022,3,
3944,2022,1,
3960,2022,1,
3978,2022,7,
4035,2022,4,
4081,2022,6,
4103,2022,8,
4105,2022,7,
4152,2022,1,
4161,2022,7,
4312,2023,7,
4333,2023,8,
4417,2023,14,
4446,2023,1,
4454,2023,1,
4499,2023,2,
4575,2023,4,
4581,2023,2,
4592,2023,19,
4598,2023,1,
4602,2023,1,
4621,2023,4,
4682,2023,2,
4795,2023,5,
4804,2023,4,
4883,2023,4,
4903,2023,1,
4925,2023,7,
5010,2023,2,
5014,2023,1,
5064,2023,1,
5111,2023,10,
5166,2023,1,
5207,2023,6,
5210,2023,1,
5222,2023,1,
5250,2023,2,
5261,2023,4,
5328,2023,2,
5420,2023,7,
5493,2024,3,
5528,2024,1,
5574,2024,4,
5590,2024,5,
5612,2024,5,
5621,2024,1,
5627,2024,2,
5648,2024,2,
5662,2024,4,
5711,2024,1,
5719,2024,1,
5888,2024,5,
6022,2024,22,
6054,2024,7,
6102,2024,1,
6167,2024,4,
6231,2024,5,
6265,2024,9,
6464,2024,19,
6465,2024,10,
6512,2024,1,
6555,2024,9,
6567,2024,30,
6714,2024,2,
6727,2024,1,
6746,2024,2,
6798,2024,12,
6847,2024,1,
6957,2024,9,
6982,2024,4,
7023,2025,82,
7025,2025,2,
7125,2025,10,
7142,2025,1,
7241,2025,2,
7560,2025,9,
7751,2025,9,
8113,2025,3,
8144,2025,1,
8246,2025,1,
8577,2025,2,
8875,2025,6,
9088,2025,4,
9202,2025,5,
9318,2025,1,
9507,2025,1,
9549,2025,6,
9682,2025,11,
9776,2025,1,
9824,2025,1,
10002,2025,22,
10068,2025,15,
10092,2025,9,
10145,2025,6,
10261,2025,6,
10364,2025,6,
10593,2025,1,
10618,2025,3,
10665,2025,13,
10973,2025,6,
10823,2026,6,
10826,2026,2,
10837,2026,4,
10842,2026,2,
10862,2026,15,
10884,2026,3,
10910,2026,8,
10914,2026,1,
10919,2026,2,
10931,2026,1,
10933,2026,1,
10940,2026,2,
10950,2026,1,
10951,2026,5,
10961,2026,5,
10964,2026,2,
10967,2026,3,
10972,2026,9,
10983,2026,1,
10993,2026,1,
10996,2026,7,
11048,2026,3,
11056,2026,3,
11078,2026,8,
11084,2026,5,
11088,2026,2,
11118,2026,1,
11130,2026,1,
11133,2026,8,
11141,2026,1,
