Image,Year,Bud Count,Stem Count,
2222,2021,0,4,
2245,2021,0,1,
2254,2021,0,4,
2318,2021,0,1,
2341,2021,13,1,
2371,2021,18,1,
2372,2021,0,5,
2422,2021,9,2,
2457,2021,1,0,
2462,2021,17,1,
2474,2021,15,1,
2485,2021,0,1,
2509,2021,117,4,
2539,2021,0,1,
2561,2021,7,1,
2572,2021,28,3,
2584,2021,11,5,
2588,2021,50,3,
2616,2021,32,3,
2634,2021,33,14,
2646,2021,0,1,
2679,2021,71,15,
2697,2021,44,8,
4245,2021,23,1,
4291,2021,33,7,
2721,2022,0,1,
2740,2022,3,10,
2745,2022,0,3,
2763,2022,3,20,
2770,2022,0,1,
2813,2022,0,1,
2838,2022,0,9,
3132,2022,0,7,
3218,2022,0,10,
3224,2022,5,5,
3319,2022,0,1,
3337,2022,0,1,
3338,2022,0,6,
3573,2022,13,8,
3582,2022,1,7,
3694,2022,5,5,
3698,2022,0,1,
3761,2022,0,1,
3826,2022,15,10,
3903,2022,11,15,
3919,2022,25,3,
3944,2022,0,1,
3960,2022,0,1,
3978,2022,8,7,
4035,2022,0,4,
4081,2022,3,6,
4103,2022,10,8,
4105,2022,0,7,
4152,2022,0,1,
4161,2022,0,7,
4312,2023,4,7,
4333,2023,0,8,
4417,2023,34,14,
4446,2023,22,1,
4454,2023,34,1,
4499,2023,0,2,
4575,2023,8,4,
4581,2023,53,2,
4592,2023,4,19,
4598,2023,0,1,
4602,2023,10,1,
4621,2023,91,4,
4682,2023,5,2,
4795,2023,0,5,
4804,2023,34,4,
4883,2023,3,4,
4903,2023,22,1,
4925,2023,31,7,
5010,2023,13,2,
5014,2023,0,1,
5064,2023,0,1,
5111,2023,14,10,
5166,2023,0,1,
5207,2023,25,6,
5210,2023,0,1,
5222,2023,0,1,
5250,2023,3,2,
5261,2023,23,4,
5328,2023,4,2,
5420,2023,0,7,
5493,2024,13,3,
5528,2024,0,1,
5574,2024,1,4,
5590,2024,5,5,
5612,2024,3,5,
5621,2024,0,1,
5627,2024,3,2,
5648,2024,0,2,
5662,2024,0,4,
5711,2024,0,1,
5719,2024,0,1,
5888,2024,2,5,
6022,2024,0,22,
6054,2024,0,7,
6102,2024,0,1,
6167,2024,23,4,
6231,2024,3,5,
6265,2024,9,9,
6464,2024,33,19,
6465,2024,28,10,
6512,2024,0,1,
6555,2024,26,9,
6567,2024,27,30,
6714,2024,5,2,
6727,2024,0,1,
6746,2024,11,2,
6798,2024,19,12,
6847,2024,8,1,
6957,2024,26,9,
6982,2024,0,4,
7023,2025,0,82,
7025,2025,8,2,
7125,2025,24,10,
7142,2025,7,1,
7241,2025,0,2,
7560,2025,23,9,
7751,2025,46,9,
8113,2025,8,3,
8144,2025,49,1,
8246,2025,0,1,
8577,2025,0,2,
8875,2025,13,6,
9088,2025,11,4,
9202,2025,1,5,
9318,2025,1,1,
9507,2025,0,1,
9549,2025,0,6,
9682,2025,54,11,
9776,2025,5,1,
9824,2025,0,1,
10002,2025,28,22,
10068,2025,0,15,
10092,2025,0,9,
10145,2025,0,6,
10261,2025,0,6,
10364,2025,76,6,
10593,2025,9,1,
10618,2025,0,3,
10665,2025,19,13,
10973,2025,48,6,
10823,2026,3,6,
10826,2026,0,2,
10837,2026,6,4,
10842,2026,7,2,
10862,2026,14,15,
10884,2026,0,3,
10910,2026,3,8,
10914,2026,5,1,
10919,2026,5,2,
10931,2026,5,1,
10933,2026,0,1,
10940,2026,0,2,
10950,2026,0,1,
10951,2026,4,5,
10961,2026,4,5,
10964,2026,11,2,
10967,2026,0,3,
10972,2026,10,9,
10983,2026,0,1,
10993,2026,24,1,
10996,2026,2,7,
11048,2026,13,3,
11056,2026,0,3,
11078,2026,0,8,
11084,2026,0,5,
11088,2026,3,2,
11118,2026,14,1,
11130,2026,25,1,
11133,2026,48,8,
11141,2026,5,1,
